twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;4.06;4.75;5.25;5.5;5.61;5.66;5.65
60;4.27;4.99;5.43;5.65;5.77;5.84;5.86
75;4.41;5.18;5.57;5.78;5.94;6.07;6.21
90;4.38;5.26;5.71;5.95;6.08;6.18;6.49
110;4.42;5.32;5.76;6.04;6.32;6.57;6.83
120;4.28;5.19;5.69;5.98;6.26;6.56;7.03
135;3.87;4.74;5.45;5.8;6.07;6.36;6.93
150;3.36;4.21;4.97;5.53;5.83;6.08;6.63 
